date,category,type,amount,description
2025-01-26,Lifestyle,Expense,256,Zomato
2025-01-27,Lifestyle,Expense,86,Stationery
2025-01-29,Lifestyle,Expense,520,Auto Rickshaw
2025-01-31,Lifestyle,Expense,577,Zomato
2025-02-01,Fixed,Expense,6500,Hostel/Mess Fee
2025-02-01,Lifestyle,Expense,488,Tea/Coffee
2025-02-02,Lifestyle,Expense,195,Movie
2025-02-03,Lifestyle,Expense,199,Movie
2025-02-06,Lifestyle,Expense,408,Stationery
2025-02-08,Lifestyle,Expense,544,Zomato
2025-02-10,Lifestyle,Expense,172,Stationery
2025-02-11,Lifestyle,Expense,177,Movie
2025-02-13,Lifestyle,Expense,129,Tea/Coffee
2025-02-14,Lifestyle,Expense,271,Zomato
2025-02-16,Lifestyle,Expense,516,Zomato
2025-02-17,Lifestyle,Expense,498,Tea/Coffee
2025-02-18,Lifestyle,Expense,116,Stationery
2025-02-19,Lifestyle,Expense,402,Tea/Coffee
2025-02-21,Lifestyle,Expense,213,Movie
2025-02-22,Lifestyle,Expense,338,Zomato
2025-02-23,Lifestyle,Expense,44,Zomato
2025-02-24,Lifestyle,Expense,80,Stationery
2025-02-25,Lifestyle,Expense,115,Tea/Coffee
2025-02-26,Lifestyle,Expense,566,Tea/Coffee
2025-03-01,Fixed,Expense,6500,Hostel/Mess Fee
2025-03-01,Lifestyle,Expense,256,Tea/Coffee
2025-03-02,Lifestyle,Expense,163,Auto Rickshaw
2025-03-03,Lifestyle,Expense,134,Zomato
2025-03-04,Lifestyle,Expense,491,Auto Rickshaw
2025-03-05,Lifestyle,Expense,491,Stationery
2025-03-06,Lifestyle,Expense,437,Auto Rickshaw
2025-03-09,Lifestyle,Expense,224,Tea/Coffee
2025-03-12,Lifestyle,Expense,380,Auto Rickshaw
2025-03-13,Freelance,Income,7500,Video Edit
2025-03-13,Lifestyle,Expense,337,Zomato
2025-03-14,Freelance,Income,4000,Video Edit
2025-03-14,Lifestyle,Expense,93,Zomato
2025-03-15,Lifestyle,Expense,387,Stationery
2025-03-16,Lifestyle,Expense,276,Tea/Coffee
2025-03-17,Lifestyle,Expense,584,Auto Rickshaw
2025-03-19,Lifestyle,Expense,593,Auto Rickshaw
2025-03-20,Lifestyle,Expense,451,Movie
2025-03-21,Lifestyle,Expense,80,Movie
2025-03-22,Lifestyle,Expense,275,Movie
2025-03-23,Lifestyle,Expense,363,Movie
2025-03-24,Lifestyle,Expense,594,Auto Rickshaw
2025-03-25,Lifestyle,Expense,350,Zomato
2025-03-26,Lifestyle,Expense,259,Tea/Coffee
2025-03-27,Freelance,Income,4000,Logo Design
2025-03-27,Lifestyle,Expense,202,Auto Rickshaw
2025-03-28,Lifestyle,Expense,169,Movie
2025-03-29,Freelance,Income,18000,Logo Design
2025-03-29,Lifestyle,Expense,434,Stationery
2025-03-30,Lifestyle,Expense,269,Zomato
2025-04-01,Fixed,Expense,6500,Hostel/Mess Fee
2025-04-02,Lifestyle,Expense,284,Tea/Coffee
2025-04-03,Lifestyle,Expense,207,Stationery
